logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
13	17	104	136	111	143	#F4F2E8FF	#F4F2E8FF	true	0
14	17	112	136	119	143	#F4F2E8FF	#F4F2E8FF	true	0
15	17	120	136	127	143	#F4F2E8FF	#F4F2E8FF	true	0
16	17	128	136	135	143	#F4F2E8FF	#F4F2E8FF	true	0
17	17	136	136	143	143	#F4F2E8FF	#F4F2E8FF	true	0
18	17	144	136	151	143	#CDD2D8FF	#CDD2D8FF	true	0
19	17	152	136	159	143	#2A3340FF	#2A3340FF	true	0
20	17	160	136	167	143	#00000000	#00000000	true	0
21	17	168	136	175	143	#00000000	#00000000	true	0
22	17	176	136	183	143	#00000000	#00000000	true	0
23	17	184	136	191	143	#00000000	#00000000	true	0
0	18	0	144	7	151	#00000000	#00000000	true	0
1	18	8	144	15	151	#00000000	#00000000	true	0
2	18	16	144	23	151	#00000000	#00000000	true	0
3	18	24	144	31	151	#00000000	#00000000	true	0
4	18	32	144	39	151	#00000000	#00000000	true	0
5	18	40	144	47	151	#2A3340FF	#2A3340FF	true	0
6	18	48	144	55	151	#F4F2E8FF	#F4F2E8FF	true	0
7	18	56	144	63	151	#F4F2E8FF	#F4F2E8FF	true	0
8	18	64	144	71	151	#F4F2E8FF	#F4F2E8FF	true	0
9	18	72	144	79	151	#F4F2E8FF	#F4F2E8FF	true	0
